Timestamp,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
2/23/2020 18:59:08,Guard,DPS,Robot,Medic,Ranged
2/23/2020 19:30:52,Medic,Supporter,DP-Recovery,Defense,Slow
2/23/2020 19:31:45,Sniper,Medic,Supporter,Healing,DP-Recovery
2/23/2020 19:33:16,Defender,Medic,Vanguard,Melee,Robot
2/23/2020 19:35:24,Guard,Sniper,Medic,Vanguard,Ranged
2/23/2020 19:35:58,Guard,Supporter,Vanguard,Melee,Defense
2/23/2020 20:07:00,Sniper,Medic,Vanguard,DP-Recovery,Defense
2/23/2020 20:07:26,Guard,Sniper,Supporter,Caster,Ranged
2/23/2020 20:07:50,Medic,Vanguard,Melee,Starter,Survival
2/23/2020 20:08:15,Guard,DPS,Caster,Starter,Survival
2/23/2020 20:20:54,Caster,Medic,DP-Recovery,Shift,Ranged
2/23/2020 20:29:30,Specialist,Supporter,Survival,Defense,Guard
2/23/2020 20:30:51,Guard,Vanguard,Starter,AoE,DPS
2/23/2020 20:56:07,Defender,Medic,Ranged,Starter,Defense
2/23/2020 21:43:56,Guard,Sniper,Melee,DP-Recovery,DPS
2/23/2020 21:44:15,Guard,Supporter,Vanguard,Starter,Defense
2/23/2020 22:06:24,Caster,Vanguard,AoE,Ranged,Defense
2/23/2020 22:11:08,Supporter,Caster,Healing,Vanguard,Slow
2/23/2020 22:11:38,Sniper,Supporter,Caster,AoE,Slow
2/23/2020 22:12:10,Guard,Caster,Healing,Starter,Survival
2/23/2020 22:12:36,Sniper,Vanguard,Ranged,Starter,DPS
2/23/2020 22:15:01,Defender,Medic,Caster,Vanguard,DP-Recovery
2/23/2020 22:15:20,Sniper,Specialist,Vanguard,Healing,Starter
2/23/2020 22:16:42,Medic,Guard,Supporter,DP-Recovery,DPS
2/23/2020 22:17:40,Sniper,Medic,Survival,AoE,Melee
2/23/2020 22:20:26,Supporter,Support,AoE,Healing,Specialist
2/23/2020 22:37:22,Guard,Sniper,Defender,Melee,DP-Recovery
2/23/2020 22:49:53,Supporter,Vanguard,Ranged,AoE,DP-Recovery
2/23/2020 22:50:20,Sniper,Caster,Ranged,Vanguard,Defense
2/23/2020 22:51:55,Supporter,Vanguard,DP-Recovery,Defense,Melee
2/23/2020 23:00:05,Medic,Sniper,Supporter,Defender,Ranged
2/23/2020 23:20:00,Medic,Supporter,Vanguard,DP-Recovery,Survival
2/23/2020 23:29:38,Supporter,Healing,DP-Recovery,Survival,Slow
2/23/2020 23:30:24,Defender,Medic,Starter,DP-Recovery,Defense
2/23/2020 23:36:28,Medic,Supporter,Caster,Melee,Survival
2/24/2020 0:00:50,Medic,Ranged,Crowd-Control,Nuker,Debuff
2/24/2020 0:01:17,Defender,Supporter,Caster,Ranged,Defense
2/24/2020 0:01:40,Defender,Supporter,Vanguard,Melee,Ranged
2/24/2020 0:05:46,Caster,Ranged,Starter,DP-Recovery,Defense
2/24/2020 0:06:28,Sniper,Defender,Caster,Melee,Starter
2/24/2020 0:07:18,Medic,Vanguard,Healing,DP-Recovery,AoE
2/24/2020 0:08:56,Vanguard,Healing,DP-Recovery,Survival,Slow
2/24/2020 0:09:20,Guard,Defender,Medic,DP-Recovery,Fast-Redeploy
2/24/2020 0:09:28,Defender,Caster,DP-Recovery,AoE,Defense
2/24/2020 0:09:40,Medic,Vanguard,Healing,DP-Recovery,DPS
2/24/2020 0:13:27,Vanguard,Ranged,Starter,Defense,Slow
2/24/2020 0:15:07,Guard,Medic,Caster,Healing,DP-Recovery
2/24/2020 0:15:13,Medic,Caster,Ranged,Starter,DPS
2/24/2020 0:34:57,Medic,Supporter,Vanguard,Ranged,Healing
2/24/2020 0:35:04,Sniper,Defender,Vanguard,AoE,Crowd-Control
